species,colony,time,origin,origin_dest_trt,dest,trt,origin_dest,time_origin_dest_trt,chla,chlaratio,totalchl,totalchlratio,chlloss,tank
por,A,16-Jan,LV,LV_LV_heat,LV,heat,LV_LV,Jan-16_LV_LV_heat,3.438,0.627,4.516,0.622,37.809,A
por,A,16-Jan,LV,LV_LV_cont,LV,cont,LV_LV,Jan-16_LV_LV_cont,5.482,,7.261,,,B
por,B,16-Jan,LV,LV_LV_heat,LV,heat,LV_LV,Jan-16_LV_LV_heat,7.961,0.629,10.259,0.611,38.878,A
por,B,16-Jan,LV,LV_LV_cont,LV,cont,LV_LV,Jan-16_LV_LV_cont,12.666,,16.784,,,B
por,C,16-Jan,LV,LV_HV_heat,HV,heat,LV_HV,Jan-16_LV_HV_heat,2.888,0.406,3.77,0.408,59.241,A
por,C,16-Jan,LV,LV_HV_cont,HV,cont,LV_HV,Jan-16_LV_HV_cont,7.115,,9.25,,,B
por,C,16-Jan,LV,LV_LV_heat,LV,heat,LV_LV,Jan-16_LV_LV_heat,3.768,0.401,4.913,0.396,60.405,A
por,C,16-Jan,LV,LV_LV_cont,LV,cont,LV_LV,Jan-16_LV_LV_cont,9.391,,12.408,,,B
por,D,16-Jan,LV,LV_HV_heat,HV,heat,LV_HV,Jan-16_LV_HV_heat,2.376,0.508,2.989,0.306,69.389,C
por,D,16-Jan,LV,LV_HV_cont,HV,cont,LV_HV,Jan-16_LV_HV_cont,7.552,,9.765,,,D
por,D,16-Jan,LV,LV_LV_heat,LV,heat,LV_LV,Jan-16_LV_LV_heat,4.697,1.076,3.264,0.3,69.996,C
por,D,16-Jan,LV,LV_LV_cont,LV,cont,LV_LV,Jan-16_LV_LV_cont,4.365,,10.878,,,D
por,E,16-Jan,LV,LV_HV_heat,HV,heat,LV_HV,Jan-16_LV_HV_heat,1.554,0.24,2.037,0.235,76.505,C
por,E,16-Jan,LV,LV_HV_cont,HV,cont,LV_HV,Jan-16_LV_HV_cont,6.481,,8.672,,,D
por,E,16-Jan,LV,LV_LV_heat,LV,heat,LV_LV,Jan-16_LV_LV_heat,1.991,0.225,2.656,0.225,77.54,C
por,E,16-Jan,LV,LV_LV_cont,LV,cont,LV_LV,Jan-16_LV_LV_cont,8.867,,11.824,,,D
por,A,16-Jul,HV,HV_HV_heat,HV,heat,HV_HV,Jul-16_HV_HV_heat,0.986,0.409,1.297,0.393,60.658,A
por,A,16-Jul,HV,HV_HV_cont,HV,cont,HV_HV,Jul-16_HV_HV_cont,2.411,,3.296,,,B
por,A,16-Jul,MV,MV_HV_heat,HV,heat,MV_HV,Jul-16_MV_HV_heat,0.804,0.424,1.04,0.431,56.939,A
por,A,16-Jul,MV,MV_HV_cont,HV,cont,MV_HV,Jul-16_MV_HV_cont,1.895,,2.414,,,B
por,A,16-Jul,MV,MV_MV_heat,MV,heat,MV_MV,Jul-16_MV_MV_heat,2.596,0.893,3.514,0.88,11.963,A
por,A,16-Jul,MV,MV_MV_cont,MV,cont,MV_MV,Jul-16_MV_MV_cont,2.907,,3.991,,,B
por,A,16-Jul,LV,LV_LV_heat,LV,heat,LV_LV,Jul-16_LV_LV_heat,3.038,0.822,3.952,0.763,23.739,A
por,A,16-Jul,LV,LV_LV_cont,LV,cont,LV_LV,Jul-16_LV_LV_cont,3.695,,5.182,,,B
por,C,16-Jul,LV,LV_HV_heat,HV,heat,LV_HV,Jul-16_LV_HV_heat,1.754,1.053,2.145,1.214,-21.368,A
por,C,16-Jul,LV,LV_HV_cont,HV,cont,LV_HV,Jul-16_LV_HV_cont,1.665,,1.768,,,B
por,B,16-Jul,HV,HV_HV_heat,HV,heat,HV_HV,Jul-16_HV_HV_heat,0.325,0.091,0.406,0.087,91.298,A
por,B,16-Jul,HV,HV_HV_cont,HV,cont,HV_HV,Jul-16_HV_HV_cont,3.587,,4.671,,,B
por,B,16-Jul,MV,MV_HV_heat,HV,heat,MV_HV,Jul-16_MV_HV_heat,2.802,0.775,3.684,0.767,23.342,A
por,B,16-Jul,MV,MV_HV_cont,HV,cont,MV_HV,Jul-16_MV_HV_cont,3.614,,4.806,,,B
por,B,16-Jul,MV,MV_MV_heat,MV,heat,MV_MV,Jul-16_MV_MV_heat,2.689,0.869,3.646,0.856,14.4,A
por,B,16-Jul,MV,MV_MV_cont,MV,cont,MV_MV,Jul-16_MV_MV_cont,3.095,,4.259,,,B
por,B,16-Jul,LV,LV_LV_heat,LV,heat,LV_LV,Jul-16_LV_LV_heat,3.756,0.672,4.975,0.674,32.613,A
por,B,16-Jul,LV,LV_LV_cont,LV,cont,LV_LV,Jul-16_LV_LV_cont,5.592,,7.383,,,B
por,C,16-Jul,HV,HV_HV_heat,HV,heat,HV_HV,Jul-16_HV_HV_heat,0.121,0.039,0.179,0.043,95.71,A
por,C,16-Jul,HV,HV_HV_cont,HV,cont,HV_HV,Jul-16_HV_HV_cont,3.121,,4.164,,,B
por,C,16-Jul,MV,MV_HV_heat,HV,heat,MV_HV,Jul-16_MV_HV_heat,0.917,0.517,1.213,0.515,48.499,A
por,C,16-Jul,MV,MV_HV_cont,HV,cont,MV_HV,Jul-16_MV_HV_cont,1.775,,2.355,,,B
por,C,16-Jul,MV,MV_MV_heat,MV,heat,MV_MV,Jul-16_MV_MV_heat,0.96,0.295,1.24,0.283,71.653,A
por,C,16-Jul,MV,MV_MV_cont,MV,cont,MV_MV,Jul-16_MV_MV_cont,3.251,,4.374,,,B
por,C,16-Jul,LV,LV_LV_heat,LV,heat,LV_LV,Jul-16_LV_LV_heat,3.916,0.81,5.074,0.775,22.463,A
por,D,16-Jul,LV,LV_LV_heat,LV,cont,LV_LV,Jul-16_LV_LV_heat,4.836,,6.544,,,D
por,D,16-Jul,HV,HV_HV_cont,HV,heat,HV_HV,Jul-16_HV_HV_cont,0.758,0.248,0.943,0.238,76.224,C
por,D,16-Jul,HV,HV_HV_cont,HV,cont,HV_HV,Jul-16_HV_HV_cont,3.052,,3.965,,,D
por,D,16-Jul,MV,MV_HV_heat,HV,heat,MV_HV,Jul-16_MV_HV_heat,2.246,0.66,2.853,0.643,35.669,C
por,D,16-Jul,MV,MV_HV_cont,HV,cont,MV_HV,Jul-16_MV_HV_cont,3.405,,4.435,,,D
por,D,16-Jul,MV,MV_MV_heat,MV,heat,MV_MV,Jul-16_MV_MV_heat,2.135,0.405,2.909,0.42,58.038,C
por,D,16-Jul,MV,MV_MV_cont,MV,cont,MV_MV,Jul-16_MV_MV_cont,5.27,,6.932,,,D
por,D,16-Jul,LV,LV_HV_heat,HV,heat,LV_HV,Jul-16_LV_HV_heat,1.703,0.579,2.224,0.577,42.314,C
por,D,16-Jul,LV,LV_HV_cont,HV,cont,LV_HV,Jul-16_LV_HV_cont,2.94,,3.855,,,D
por,D,16-Jul,LV,LV_LV_heat,LV,heat,LV_LV,Jul-16_LV_LV_heat,3.42,0.709,4.566,0.698,30.246,C
por,E,16-Jul,LV,LV_LV_cont,LV,cont,LV_LV,Jul-16_LV_LV_cont,4.825,,6.545,,,D
por,E,16-Jul,HV,HV_HV_heat,HV,heat,HV_HV,Jul-16_HV_HV_heat,1.658,0.877,2.042,0.824,17.561,C
por,E,16-Jul,HV,HV_HV_cont,HV,cont,HV_HV,Jul-16_HV_HV_cont,1.892,,2.477,,,D
por,E,16-Jul,MV,MV_MV_heat,MV,heat,MV_MV,Jul-16_MV_MV_heat,2.265,0.619,3.039,0.576,42.437,C
por,E,16-Jul,MV,MV_MV_cont,MV,cont,MV_MV,Jul-16_MV_MV_cont,3.659,,5.28,,,D
por,E,16-Jul,LV,LV_HV_heat,HV,heat,LV_HV,Jul-16_LV_HV_heat,0.697,0.183,0.882,0.177,82.291,C
por,E,16-Jul,LV,LV_HV_cont,HV,cont,LV_HV,Jul-16_LV_HV_cont,3.809,,4.979,,,D
